index_code	name	value_date	security	isin_no	weightage
BSE100	S & P BSE100	20251021	010100301	INE038A01020	0.7755798069
BSE100	S & P BSE100	20251021	010200901	INE062A01020	2.5907404621
BSE100	S & P BSE100	20251021	010201601	INE476A01022	0.2929764229
BSE100	S & P BSE100	20251021	010202101	INE121A01024	0.4825916656
BSE100	S & P BSE100	20251021	010204301	INE028A01039	0.3453655103
BSE100	S & P BSE100	20251021	010205701	INE160A01022	0.2787249912
BSE100	S & P BSE100	20251021	010207501	INE237A01028	2.2194297118
BSE100	S & P BSE100	20251021	010207901	INE296A01032	1.9480376399
BSE100	S & P BSE100	20251021	010208201	INE721A01047	0.664405312
BSE100	S & P BSE100	20251021	010208501	INE134E01011	0.397724303
BSE100	S & P BSE100	20251021	010213601	INE238A01034	2.4227383401
BSE100	S & P BSE100	20251021	010214201	INE171A01029	0.3837655594
BSE100	S & P BSE100	20251021	010216601	INE040A01034	10.490338498
BSE100	S & P BSE100	20251021	010302301	INE079A01024	0.2401210264
BSE100	S & P BSE100	20251021	010303201	INE070A01015	0.2655159068
BSE100	S & P BSE100	20251021	010423401	INE326A01037	0.3231093591
BSE100	S & P BSE100	20251021	010432901	INE242A01010	0.388467565
BSE100	S & P BSE100	20251021	010433001	INE213A01029	0.6644130256
BSE100	S & P BSE100	20251021	010433201	INE129A01019	0.3299444738
BSE100	S & P BSE100	20251021	010443401	INE059A01026	0.6369265009
BSE100	S & P BSE100	20251021	010444801	INE089A01031	0.5395810695
BSE100	S & P BSE100	20251021	010448501	INE044A01036	1.2255855102
BSE100	S & P BSE100	20251021	010451001	INE021A01026	0.7766783472
BSE100	S & P BSE100	20251021	010500901	INE245A01021	0.4547169998
BSE100	S & P BSE100	20251021	010501401	INE020B01018	0.3206300972
BSE100	S & P BSE100	20251021	010501501	INE733E01010	1.1163966661
BSE100	S & P BSE100	20251021	010503801	INE752E01010	0.9038079693
BSE100	S & P BSE100	20251021	010600401	INE271C01023	0.3411133649
BSE100	S & P BSE100	20251021	010607501	INE298A01020	0.3731749842
BSE100	S & P BSE100	20251021	010608601	INE018A01030	3.1214469816
BSE100	S & P BSE100	20251021	010626301	INE263A01024	1.0273247638
BSE100	S & P BSE100	20251021	010631201	INE280A01028	1.0459227848
BSE100	S & P BSE100	20251021	010653801	INE009A01021	3.6120884354
BSE100	S & P BSE100	20251021	010802201	INE081A01020	0.9778426963
BSE100	S & P BSE100	20251021	010802801	INE205A01025	0.5492588876
BSE100	S & P BSE100	20251021	010812101	INE019A01038	0.7355498764
