security	asofdt	isin	secname	issuer_name	issue_date	coupon_rate	prv_int_dt	int_frq	currency	face_value	maturity_date	asset_type	asset_name	rating	dosrrec	analyst	discounted	min_invtdt	REDEM_PREM
010100301	20251101	INE038A01020	EQ - HINDALCO INDUSTRIES LTD.	HINDALCO INDUSTRIES LTD.		0			INR	1		01	EQUITY SHARES	NA			N		0
010100901	20251101	INE139A01034	EQ - NATIONAL ALUMINIUM CO. LTD.	NATIONAL ALUMINIUM COMPANY LTD.		0			INR	5		01	EQUITY SHARES	NA			N		0
010200601	20251101	INE672A01026	EQ - TATA INVESTMENT CORPORATION LT	TATA INVESTMENT CORPORATION LTD.	20020212	0	20020212		INR	1		01	EQUITY SHARES	NA			N	20020212	0
010200901	20251101	INE062A01020	EQ - STATE BANK OF INDIA	STATE BANK OF INDIA		0			INR	1		01	EQUITY SHARES	NA			N		0
010201101	20251101	INE562A01011	EQ - INDIAN BANK	INDIAN BANK		0			INR	10		01	EQUITY SHARES	NA			N		0
010201201	20251101	INE691A01018	EQ - UCO BANK	UCO BANK	20031006	0	20031006		INR	10		01	EQUITY SHARES	NA			N	20031006	0
010201601	20251101	INE476A01022	EQ - CANARA BANK	CANARA BANK	20021219	0	20021219		INR	2		01	EQUITY SHARES	NA			N	20021219	0
010201801	20251101	INE008A01015	EQ - IDBI BANK LTD.	IDBI BANK LTD.		0			INR	10		01	EQUITY SHARES	NA			N		0
010201901	20251101	INE858B01029	EQ - ISGEC HEAVY ENGINEERING LTD	ISGEC HEAVY ENGINEERING LTD		0			INR	1		01	EQUITY SHARES	NA			N		0
010202101	20251101	INE121A01024	EQ - CHOLAMANDALAM INVESTMENT & FIN	CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED		0			INR	2		01	EQUITY SHARES	NA			N		0
010202401	20251101	INE871D01010	EQ - INFRASTRUCTURE LEASING & FIN.S	INFRASTRUCTURE LEASING & FIN.SER.LT	19981020	0	19981020		INR	10		01	EQUITY SHARES	NA			N	19981020	0
010203301	20251101	INE007A01025	EQ - CRISIL LTD.	CRISIL LTD		0			INR	1		01	EQUITY SHARES	NA			N		0
010203401	20251101	INE477A01020	EQ - CANFIN HOMES LTD.	CANFIN HOMES LTD.		0			INR	2		01	EQUITY SHARES	NA			N		0
010204201	20251101	INE084A01016	EQ - BANK OF INDIA	BANK OF INDIA		0			INR	10		01	EQUITY SHARES	NA			N		0
010204301	20251101	INE028A01039	EQ - BANK OF BARODA	BANK OF BARODA		0			INR	2		01	EQUITY SHARES	NA			N		0
010205601	20251101	INE0J1Y01017	EQ - LIC OF INDIA	L I C OF INDIA		0			INR	10		01	EQUITY SHARES				N		0
010205701	20251101	INE160A01022	EQ - PUNJAB NATIONAL BANK	PUNJAB NATIONAL BANK	20020423	0	20020423		INR	2		01	EQUITY SHARES	NA			N	20020423	0
010207401	20251101	INE115A01026	EQ - LIC HOUSING FINANCE LTD.	LIC HOUSING FINANCE LTD.		0			INR	2		01	EQUITY SHARES	NA			N		0
010207501	20251101	INE237A01028	EQ - KOTAK MAHINDRA BANK LTD.	KOTAK MAHINDRA BANK  LTD.		0			INR	5		01	EQUITY SHARES	NA			N		0
010207901	20251101	INE296A01032	EQ - BAJAJ FINANCE LTD.	BAJAJ FINANCE LTD.		0			INR	1		01	EQUITY SHARES	NA			N		0
010208201	20251101	INE721A01047	EQ - SHRIRAM FINANCE LTD	SHRIRAM FINANCE LTD		0			INR	2		01	EQUITY SHARES	NA			N		0
010208501	20251101	INE134E01011	EQ - POWER FINANCE CORPORATION LTD.	POWER FINANCE CORPORATION LTD.	20070221	0	20070221		INR	10		01	EQUITY SHARES	NA			N	20070221	0
010212501	20251101	INE660A01013	EQ - SUNDARAM FINANCE LTD.	SUNDARAM FINANCE LTD.		0			INR	10		01	EQUITY SHARES	NA			N		0
010213601	20251101	INE238A01034	EQ - AXIS BANK LTD.	AXIS BANK LTD.		0			INR	2		01	EQUITY SHARES	NA			N		0
010214201	20251101	INE171A01029	EQ - FEDERAL BANK LTD.	FEDERAL BANK LTD.		0			INR	2		01	EQUITY SHARES	NA			N		0
010216601	20251101	INE040A01034	EQ - HDFC BANK LIMITED	HDFC BANK LTD.		0			INR	1		01	EQUITY SHARES	NA			N		0
010216901	20251101	INE059801014	EQ - DAMANIA CAPITAL MARKETS LTD.	DAMANIA CAPITAL MARKETS LTD.		0			INR	10		01	EQUITY SHARES	NA			N		0
010219601	20251101	INE093A01041	EQ - HEXAWARE TECHNOLOGIES LTD.	HEXAWARE TECHNOLOGIES LTD.		0			INR	1		01	EQUITY SHARES	NA			N		0
010300201	20251101	INE012A01025	EQ - ACC LTD	ACC LTD	19990902	0	19990902		INR	10		01	EQUITY SHARES	NA			N	19990902	0
010302301	20251101	INE079A01024	EQ - AMBUJA CEMENTS LTD.	AMBUJA CEMENTS LTD.	19970809	0	19970809		INR	2		01	EQUITY SHARES	NA			N	19970809	0
010302701	20251101		EQ - NIHON NIRMAN LTD.	NIHON NIRMAN LTD.		0			INR	10		01	EQUITY SHARES	NA			N		0
010303001	20251101	INE065201019	EQ - DHAR CEMENT  LTD.	DHAR CEMENT  LTD.		0			INR	10		01	EQUITY SHARES	NA			N		0
010303201	20251101	INE070A01015	EQ - SHREE CEMENT LTD.	SHREE CEMENT LTD.		0			INR	10		01	EQUITY SHARES	NA			N		0
010411301	20251101	INE576601012	EQ - SERENE INDUSTRIES LIMITED.	SERENE INDUSTRIES LIMITED.		0			INR	10		01	EQUITY SHARES	NA			N		0
010420201	20251101	INE169A01031	EQ - COROMANDEL INTERNATIONAL LTD.	COROMANDEL INTERNATIONAL LTD.		0			INR	1		01	EQUITY SHARES	NA			N		0
010420501	20251101	INE133A01011	EQ - AKZO NOBEL INDIA LTD.	AKZO NOBEL INDIA LTD.		0			INR	10		01	EQUITY SHARES	NA			N		0
010423001	20251101	INE085A01013	EQ - CHAMBAL FERTILISERS & CHEMICAL	CHAMBAL FERTILISERS & CHEMICALS LTD		0			INR	10		01	EQUITY SHARES	NA			N		0
010423201	20251101	INE603J01030	EQ - P I INDUSTRIES LTD	P I INDUSTRIES LTD.		0			INR	1		01	EQUITY SHARES	NA			N		0
010423401	20251101	INE326A01037	EQ - LUPIN LTD.	LUPIN LTD.		0			INR	2		01	EQUITY SHARES	NA			N		0
010424201	20251101	INE191A01027	EQ - ORCHID PHARMA LTD.	ORCHID PHARMA LTD.		0			INR	10		01	EQUITY SHARES	NA			N		0
010432901	20251101	INE242A01010	EQ - INDIAN OIL CORPORATION LTD.	INDIAN OIL CORPORATION LTD.		0			INR	10		01	EQUITY SHARES	NA			N		0
010433001	20251101	INE213A01029	EQ - OIL & NATURAL GAS CORPORATION	OIL & NATURAL GAS CORPORATION LTD.	20040401	0	20040401		INR	5		01	EQUITY SHARES	NA			N	20040401	0
010433201	20251101	INE129A01019	EQ - GAIL ( INDIA )LTD.	GAIL (INDIA) LTD.	20040325	0	20040325		INR	10		01	EQUITY SHARES	NA			N	20040325	0
010440201	20251101	INE462A01022	EQ - BAYER CROPSCIENCE LTD.	BAYER CROPSCIENCE LTD.		0			INR	10		01	EQUITY SHARES	NA			N		0
