asofdt	security	isin	secname	call_put_option	option_dt
20251103	0502074153	INE115A07QK0	07.67% SNCDLICHFL (Tranche 434 Option II) 15-Apr-2033	P	20260515
20251103	0502085201	INE134E08MA1	7.64% URNCD POWER FIN CORP-SR 223-22/02/2033	P	20260221
20251103	050422410	INE091A07216	8.40% SRNCD NIRMA - SR VIII TR-B - 07/04/26	B	20260223
20251103	0505014116	INE020B08DT7	6.23% URNCD REC(SR-211)31/10/2031	B	20261031
20251103	0505014123	INE020B08EG2	07.69% REC UNSEC Bond Series 220- B 31/03/2033	P	20260331
20251103	052167005	INE041007084	7.05% SRNCD EMBASSY OFFICE PARKS REIT SR- B-18/10/2026	C	20260718
20251103	052167005	INE041007084	7.05% SRNCD EMBASSY OFFICE PARKS REIT SR- B-18/10/2026	C	20260418
20251103	052167006	INE041007092	7.35% SRNCD EMBASSY OFFICE PARKS REIT SR- VI 05/04/2027	C	20261005
20251103	052167007	INE041007068	6.80% SRNCD EMBASSY OFFICE PARKS REIT -  07/09/2026	C	20260807
20251103	052167007	INE041007068	6.80% SRNCD EMBASSY OFFICE PARKS REIT -  07/09/2026	C	20260307
20251103	052167007	INE041007068	6.80% SRNCD EMBASSY OFFICE PARKS REIT -  07/09/2026	C	20260607
