valuation date,portfolio code,portfolio name,asset name,issuer,security,isin no,secname,quantity,market price,cost price,mktval,per,nav
20251031,017,UTI - Large Cap Fund,Equity Shares,Asian Paints Ltd.,010451001,INE021A01026,EQ - ASIAN PAINTS (INDIA) LTD.,"442,611","2,510.8","2,461.6642638118","1,111,307,698.8",0.84,"132,413,274,426.95"
20251031,017,UTI - Large Cap Fund,Equity Shares,Astral Ltd.,012125001,INE006I01046,EQ - ASTRAL LTD.,"892,553","1,450.1","1,703.6382282733","1,294,291,105.3",0.98,"132,413,274,426.95"
20251031,017,UTI - Large Cap Fund,Equity Shares,Avenue Supermarts Ltd.,012138501,INE192R01011,EQ - AVENUE SUPERMARTS LTD.,"1,079,768","4,153.5","3,568.136497831","4,484,816,388",3.39,"132,413,274,426.95"
20251031,017,UTI - Large Cap Fund,Equity Shares,Axis Bank Ltd.,010213601,INE238A01034,EQ - AXIS BANK LTD.,"3,371,792","1,232.8",786.7818910923,"4,156,745,177.6",3.14,"132,413,274,426.95"
20251031,017,UTI - Large Cap Fund,Equity Shares,Bajaj Auto Ltd.,012086501,INE917I01010,EQ - BAJAJ AUTO LTD.,"133,804","8,892.5","8,684.9218573436","1,189,852,070",0.9,"132,413,274,426.95"
20251031,017,UTI - Large Cap Fund,Equity Shares,Bajaj Finance Ltd.,010207901,INE296A01032,EQ - BAJAJ FINANCE LTD.,"4,745,741","1,042.8",627.5974532365,"4,948,858,714.8",3.74,"132,413,274,426.95"
20251031,017,UTI - Large Cap Fund,Equity Shares,Balkrishna Industries Ltd.,010903001,INE787D01026,EQ - BALKRISHNA INDUSTRIES LTD.,"145,953","2,279.8","1,518.3939832686","332,743,649.4",0.25,"132,413,274,426.95"
20251031,017,UTI - Large Cap Fund,Equity Shares,Bharat Petroleum Corporation Ltd.,011932701,INE029A01011,EQ - BHARAT PETROLEUM CORPN LTD.,"4,133,074",356.8,286.1881871193,"1,474,680,803.2",1.11,"132,413,274,426.95"
20251031,017,UTI - Large Cap Fund,Equity Shares,Bharti Airtel Ltd.,012038901,INE397D01024,EQ - BHARTI AIRTEL LTD.,"2,669,768","2,054.5",539.3568664543,"5,485,038,356",4.14,"132,413,274,426.95"
20251031,017,UTI - Large Cap Fund,Equity Shares,Cipla  Ltd.,010443401,INE059A01026,EQ - CIPLA LTD.,"630,266","1,501.3",658.4146515598,"946,218,345.8",0.71,"132,413,274,426.95"
20251031,017,UTI - Large Cap Fund,Equity Shares,Dixon Technologies (India) Ltd,012144501,INE935N01020,EQ - DIXON TECHNOLOGIES (INDIA) LTD,"59,329","15,494","16,650.8380372162","919,243,526",0.69,"132,413,274,426.95"
20251031,017,UTI - Large Cap Fund,Equity Shares,Eternal Limited,012158201,INE758T01015,EQ - ETERNAL LIMITED,"7,778,772",317.75,252.5704981506,"2,471,704,803",1.87,"132,413,274,426.95"
20251031,017,UTI - Large Cap Fund,Equity Shares,Godrej Consumer Products Ltd,012037701,INE102D01028,EQ - GODREJ CONSUMER PRODUCTS LTD,"1,747,340","1,118.6",925.2591379125,"1,954,574,524",1.48,"132,413,274,426.95"
20251031,017,UTI - Large Cap Fund,Equity Shares,Havells India Ltd.,012066801,INE176B01034,EQ - HAVELLS INDIA LTD.,"803,987","1,493.9","1,399.1661793661","1,201,076,179.3",0.91,"132,413,274,426.95"
20251031,017,UTI - Large Cap Fund,Equity Shares,Hcl Technologies Ltd.,012020301,INE860A01027,EQ - HCL TECHNOLOGIES LTD.,"747,884","1,541.5","1,576.7895416401","1,152,863,186",0.87,"132,413,274,426.95"
20251031,017,UTI - Large Cap Fund,Equity Shares,Hdfc Asset Management Company Ltd,012148301,INE127D01025,EQ - HDFC ASSET MANAGEMENT COMPANY,"228,615","5,379","4,576.3283982678","1,229,720,085",0.93,"132,413,274,426.95"
20251031,017,UTI - Large Cap Fund,Equity Shares,Hdfc Bank Ltd.,010216601,INE040A01034,EQ - HDFC BANK LIMITED,"12,256,970",987.3,588.500677435,"12,101,306,481",9.14,"132,413,274,426.95"
20251031,017,UTI - Large Cap Fund,Equity Shares,Hdfc Life Insurance Company Limited,012142401,INE795G01014,EQ - HDFC LIFE INSURANCE COMPANY LI,"2,402,797",731.85,660.661300705,"1,758,486,984.45",1.33,"132,413,274,426.95"
20251031,017,UTI - Large Cap Fund,Equity Shares,Hindustan Aeronautics Ltd,012144601,INE066F01020,EQ - HINDUSTAN AERONAUTICS LTD,"369,426","4,679.8","4,848.0949978074","1,728,839,794.8",1.31,"132,413,274,426.95"
20251031,017,UTI - Large Cap Fund,Equity Shares,Hyundai Motor India Ltd,012175901,INE0V6F01027,EQ - HYUNDAI MOTOR INDIA LTD,"286,183","2,438.7","1,938.2539662034","697,914,482.1",0.53,"132,413,274,426.95"
20251031,017,UTI - Large Cap Fund,Equity Shares,Icici  Lombard General Insurance Company Ltd,012141101,INE765G01017,EQ - ICICI LOMBARD GENERAL INSURANC,"616,823","1,993.7","1,323.5062110362","1,229,760,015.1",0.93,"132,413,274,426.95"
20251031,017,UTI - Large Cap Fund,Equity Shares,Icici Bank Ltd,012002901,INE090A01021,EQ - ICICI BANK LTD,"6,887,839","1,345.3",376.6162001028,"9,266,209,806.7",7,"132,413,274,426.95"
20251031,017,UTI - Large Cap Fund,Equity Shares,Indus Ind Bank Ltd.,012001901,INE095A01012,EQ - INDUSIND BANK,"1,220,050",794.8,"1,390.8758768493","969,695,740",0.73,"132,413,274,426.95"
20251031,017,UTI - Large Cap Fund,Equity Shares,Info-Edge (India) Ltd.,012062001,INE663F01032,EQ - INFO-EDGE (INDIA) LTD.,"477,915","1,378.3",867.9853645732,"658,710,244.5",0.5,"132,413,274,426.95"
20251031,017,UTI - Large Cap Fund,Equity Shares,Infosys Ltd.,010653801,INE009A01021,EQ - INFOSYS LTD.,"5,014,605","1,482.3",965.4811892442,"7,433,148,991.5",5.61,"132,413,274,426.95"
20251031,017,UTI - Large Cap Fund,Equity Shares,Interglobe Aviation Ltd,012131601,INE646L01027,EQ - INTERGLOBE AVIATION LTD,"217,331","5,625","1,700.3376646222","1,222,486,875",0.92,"132,413,274,426.95"
20251031,017,UTI - Large Cap Fund,Equity Shares,Itc Ltd.,011902201,INE154A01025,EQ - ITC LTD.,"9,042,556",420.35,430.5273875528,"3,801,038,414.6",2.87,"132,413,274,426.95"
20251031,017,UTI - Large Cap Fund,Equity Shares,Jindal Stainless Ltd.,012045301,INE220G01021,EQ - JINDAL STAINLESS LTD.,"1,845,106",753.7,686.5816540351,"1,390,656,392.2",1.05,"132,413,274,426.95"
20251031,017,UTI - Large Cap Fund,Equity Shares,Jubilant Food Works Ltd,012107101,INE797F01020,EQ - JUBILANT FOODWORKS LTD.,"2,028,245",597.85,451.1497717485,"1,212,586,273.25",0.92,"132,413,274,426.95"
20251031,017,UTI - Large Cap Fund,Equity Shares,Kotak Mahindra Bank Ltd.,010207501,INE237A01028,EQ - KOTAK MAHINDRA BANK LTD.,"2,482,409","2,102.2","1,662.7344145949","5,218,520,199.8",3.94,"132,413,274,426.95"
20251031,017,UTI - Large Cap Fund,Equity Shares,Larsen And Toubro Limited,010608601,INE018A01030,EQ - LARSEN & TOUBRO LTD.,"1,253,949","4,030.9","3,072.0186307258","5,054,543,024.1",3.82,"132,413,274,426.95"
20251031,017,UTI - Large Cap Fund,Equity Shares,Ltimindtree Limited,012135501,INE214T01019,EQ - LTIMindtree Limited,"443,289","5,684.5","5,126.966353485","2,519,876,320.5",1.9,"132,413,274,426.95"
20251031,017,UTI - Large Cap Fund,Equity Shares,Mahindra & Mahindra Ltd.,011800801,INE101A01026,EQ - MAHINDRA & MAHINDRA LTD.,"249,726","3,487.2","2,818.5205528459","870,844,507.2",0.66,"132,413,274,426.95"
