trade date	scheme	security	isin	secname	deal id	trade type	units	price iso	txn net	txn gross	settle date
20251103	002	010303201	INE070A01015	EQ - SHREE CEMENT LTD.	CF2500110020002157	SELL	608	INR	28005.5345	27943.922395	20251104
20251103	002	012158201	INE758T01015	EQ - ETERNAL LIMITED	CF2500110020002158	BUY	85000	INR	321.3446	321.9872	20251104
20251103	002	0502085213	INE134E08NN2	7.4% UNSEC PFC (SR 247-B)-15/01/2035	CF2500110020002154	SELL	2500	INR	101772	101767	20251104
20251103	017	010443401	INE059A01026	EQ - CIPLA LTD.	CF2500110170002888	SELL	40909	INR	1509.1034	1506.6889	20251104
20251103	017	010443401	INE059A01026	EQ - CIPLA LTD.	CF2500110170002890	SELL	40909	INR	1509.1175	1506.703	20251104
20251103	017	010443401	INE059A01026	EQ - CIPLA LTD.	CF2500110170002884	SELL	45000	INR	1504.4426	1502.0355	20251104
20251103	017	010443401	INE059A01026	EQ - CIPLA LTD.	CF2500110170002886	SELL	53182	INR	1503.4097	1501.0043	20251104
20251103	017	010448501	INE044A01036	EQ - SUN PHARMACEUTICALS INDUSTRIES	CF2500110170002882	SELL	20000	INR	1699.81	1696.4104	20251104
20251103	017	010448501	INE044A01036	EQ - SUN PHARMACEUTICALS INDUSTRIES	CF2500110170002887	SELL	20000	INR	1699.9468	1696.207	20251104
20251103	017	010448501	INE044A01036	EQ - SUN PHARMACEUTICALS INDUSTRIES	CF2500110170002889	SELL	20000	INR	1699.9928	1696.5929	20251104
20251103	017	010448501	INE044A01036	EQ - SUN PHARMACEUTICALS INDUSTRIES	CF2500110170002891	SELL	20000	INR	1700.0464	1696.3063	20251104
20251103	017	012037701	INE102D01028	EQ - GODREJ CONSUMER PRODUCTS LTD	CF2500110170002883	SELL	29167	INR	1170.4956	1167.9206	20251104
20251103	017	012037701	INE102D01028	EQ - GODREJ CONSUMER PRODUCTS LTD	CF2500110170002885	SELL	30833	INR	1172.4732	1169.8938	20251104
20251103	042	010207501	INE237A01028	EQ - KOTAK MAHINDRA BANK LTD.	CF2500110420005403	SELL	12200	INR	2114.0204	2109.7924	20251104
20251103	042	010653801	INE009A01021	EQ - INFOSYS LTD.	CF2500110420005404	SELL	34880	INR	1481.5163	1478.5533	20251104
20251103	042	011800801	INE101A01026	EQ - MAHINDRA & MAHINDRA LTD.	CF2500110420005405	BUY	15000	INR	3550.4759	3558.2869	20251104
20251103	042	012131801	INE600L01024	EQ - DR LAL PATHLABS LTD.	CF2500110420005406	SELL	96	INR	3262.5531	3255.375496	20251104
20251103	042	012135501	INE214T01019	EQ - LTIMindtree Limited	CF2500110420005407	SELL	4530	INR	5701.1502	5689.7479	20251104
20251103	042	012153901	INE00WC01027	EQ - AFFLE 3I LIMITED	CF2500110420005411	BUY	13500	INR	1907.5547	1910.6067	20251104
20251103	042	012153901	INE00WC01027	EQ - AFFLE 3I LIMITED	CF2500110420005408	BUY	13500	INR	1907.9869	1912.1844	20251104
20251103	042	012158201	INE758T01015	EQ - ETERNAL LIMITED	CF2500110420005409	BUY	161000	INR	321.3446	321.9872	20251104
20251103	042	012167901	INE474Q01031	EQ- GLOBAL HEALTH LTD.	CF2500110420005410	BUY	20400	INR	1277.3182	1279.8728	20251104
20251103	049	010201101	INE562A01011	EQ - INDIAN BANK	CF2500110490004940	SELL	60000	INR	879.8232	877.8876	20251104
20251103	049	010472601	INE539A01019	EQ - GHCL LTD.	CF2500110490004941	BUY	7732	INR	619.9246	620.9164	20251104
20251103	055	0502085213	INE134E08NN2	7.4% UNSEC PFC (SR 247-B)-15/01/2035	CF2500110550003367	SELL	2500	INR	101772	101767	20251104
20251103	064	0502085213	INE134E08NN2	7.4% UNSEC PFC (SR 247-B)-15/01/2035	CF2500110640003933	SELL	5000	INR	101772	101767	20251104
20251103	066	010201101	INE562A01011	EQ - INDIAN BANK	CF2500110660004252	SELL	60000	INR	879.8232	877.8876	20251104
20251103	066	0502085213	INE134E08NN2	7.4% UNSEC PFC (SR 247-B)-15/01/2035	CF2500110660004249	SELL	5000	INR	101772	101767	20251104
20251103	066	672167101	INE0CCU25019	REIT- MINDSPACE BUSINESS PARKS	CF2500110660004253	SELL	149999	INR	467	465.9726	20251104
20251103	078	2821258280126	INE957N14JE2	CP - HERO FINCORP - 28/01/2026	CF2500110780000523	SELL	10000000	INR	98.4117	98.41055	20251103
20251103	078	2821258280126	INE957N14JE2	CP - HERO FINCORP - 28/01/2026	CF2500110780000522	SELL	10000000	INR	98.4117	98.4117	20251103
20251103	101	010607501	INE298A01020	EQ - CUMMINS INDIA LTD.	CF2500111010001430	SELL	16887	INR	4387.5946	4380.5745	20251104
20251103	101	010610301	INE513A01022	EQ - SCHAEFFLER INDIA LTD	CF2500111010001431	SELL	6764	INR	4321.7558	4314.841	20251104
20251103	101	011901101	INE239A01024	EQ - NESTLE INDIA LTD.	CF2500111010001432	SELL	38301	INR	1262.8852	1260.1069	20251104
20251103	101	012040301	INE470A01017	EQ - 3M INDIA LTD.	CF2500111010001436	SELL	3000	INR	30672.7269	30623.6506	20251104
20251103	101	012040301	INE470A01017	EQ - 3M INDIA LTD.	CF2500111010001433	SELL	3500	INR	30614.8043	30547.4518	20251104
20251103	101	012136201	INE726G01019	EQ - ICICI PRUDENTIAL LIFE INSURA L	CF2500111010001434	SELL	100000	INR	596.9856	595.6723	20251104
20251103	101	012184901	INE324D01010	EQ - LG ELECTRONICS INDIA LTD	CF2500111010001435	BUY	43793	INR	1648.4804	1652.107	20251104
20251103	118	012182601	INE0CZ201020	EQ - ANTHEM BIOSCIENCES LTD	CF2500111180001580	BUY	50000	INR	704.3353	705.4622	20251104
20251103	125	010214201	INE171A01029	EQ - FEDERAL BANK LTD.	CF2500111250003879	BUY	23314	INR	237.8416	238.3648	20251104
20251103	125	010214201	INE171A01029	EQ - FEDERAL BANK LTD.	CF2500111250003875	BUY	26686	INR	237.8376	238.3608	20251104
